,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,a.Team,a.Match Up,a.Game Date,a.W/L,a.PTS,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF,a.+/-
97,LAC,LAC vs. GSW,03/15/2023,W,134,46,96,47.9,16,34,47.1,26,32,81.3,16,28,44,30,11,1,8,18,8,GSW,GSW @ LAC,03/15/2023,L,126,49,88,55.7,17,36,47.2,11,15,73.3,7,29,36,28,5,1,16,25,-8
98,HOU,HOU vs. LAL,03/15/2023,W,114,47,89,52.8,8,29,27.6,12,19,63.2,16,35,51,22,5,3,18,29,4,LAL,LAL @ HOU,03/15/2023,L,110,34,90,37.8,11,44,25.0,31,37,83.8,11,25,36,21,7,3,10,17,-4
99,MIN,MIN vs. BOS,03/15/2023,L,102,37,84,44.0,12,36,33.3,16,22,72.7,8,38,46,27,3,2,13,23,-2,BOS,BOS @ MIN,03/15/2023,W,104,34,84,40.5,12,40,30.0,24,30,80.0,8,36,44,20,7,5,11,22,2
100,CLE,CLE vs. PHI,03/15/2023,L,109,40,85,47.1,14,41,34.1,15,22,68.2,12,21,33,20,6,2,12,18,-9,PHI,PHI @ CLE,03/15/2023,W,118,39,75,52.0,17,36,47.2,23,27,85.2,13,33,46,24,8,6,20,21,9
101,WAS,WAS vs. DET,03/14/2023,W,117,44,85,51.8,7,32,21.9,22,22,100.0,10,38,48,24,9,9,15,12,20,DET,DET @ WAS,03/14/2023,L,97,38,99,38.4,10,34,29.4,11,12,91.7,19,25,44,18,8,3,11,19,-20
102,NOP,NOP vs. LAL,03/14/2023,L,108,42,98,42.9,11,43,25.6,13,20,65.0,15,26,41,23,9,3,12,24,-15,LAL,LAL @ NOP,03/14/2023,W,123,40,82,48.8,18,39,46.2,25,28,89.3,15,37,52,24,8,2,18,16,15
103,CHA,CHA vs. CLE,03/14/2023,L,104,43,76,56.6,6,23,26.1,12,15,80.0,6,34,40,28,3,8,22,18,-16,CLE,CLE @ CHA,03/14/2023,W,120,45,88,51.1,14,30,46.7,16,19,84.2,8,22,30,29,8,6,9,19,16
104,OKC,OKC vs. BKN,03/14/2023,W,121,45,99,45.5,11,33,33.3,20,23,87.0,14,37,51,22,9,0,11,25,14,BKN,BKN @ OKC,03/14/2023,L,107,35,82,42.7,12,41,29.3,25,34,73.5,11,35,46,25,3,5,17,20,-14
105,SAS,SAS vs. ORL,03/14/2023,W,132,48,85,56.5,22,41,53.7,14,18,77.8,7,40,47,39,6,7,15,17,18,ORL,ORL @ SAS,03/14/2023,L,114,44,97,45.4,10,29,34.5,16,21,76.2,13,29,42,24,7,2,9,16,-18
106,TOR,TOR vs. DEN,03/14/2023,W,125,49,93,52.7,12,30,40.0,15,17,88.2,14,30,44,25,10,2,11,18,15,DEN,DEN @ TOR,03/14/2023,L,110,42,76,55.3,6,25,24.0,20,25,80.0,4,28,32,29,9,4,14,17,-15
